,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
0,Boston Celtics*,56,26,0.683,—,111.5,105.7,5.22,,Boston Celtics*,1991
1,Philadelphia 76ers*,44,38,0.537,12.0,105.4,105.6,-0.39,,Philadelphia 76ers*,1991
2,New York Knicks*,39,43,0.476,17.0,103.1,103.3,-0.43,,New York Knicks*,1991
3,Washington Bullets,30,52,0.366,26.0,101.4,106.4,-4.84,,Washington Bullets,1991
4,New Jersey Nets,26,56,0.317,30.0,102.9,107.5,-4.53,,New Jersey Nets,1991
5,Miami Heat,24,58,0.293,32.0,101.8,107.8,-5.91,,Miami Heat,1991
6,Chicago Bulls*,61,21,0.744,—,110.0,101.0,8.57,,Chicago Bulls*,1991
7,Detroit Pistons*,50,32,0.61,11.0,100.1,96.8,3.08,,Detroit Pistons*,1991
8,Milwaukee Bucks*,48,34,0.585,13.0,106.4,104.0,2.33,,Milwaukee Bucks*,1991
9,Atlanta Hawks*,43,39,0.524,18.0,109.8,109.0,0.72,,Atlanta Hawks*,1991
10,Indiana Pacers*,41,41,0.5,20.0,111.7,112.1,-0.37,,Indiana Pacers*,1991
11,Cleveland Cavaliers,33,49,0.402,28.0,101.7,104.2,-2.33,,Cleveland Cavaliers,1991
12,Charlotte Hornets,26,56,0.317,35.0,102.8,108.0,-4.95,,Charlotte Hornets,1991
0,,55,27,0.671,—,107.1,102.6,4.3,San Antonio Spurs*,San Antonio Spurs*,1991
1,,54,28,0.659,1.0,104.0,100.7,3.18,Utah Jazz*,Utah Jazz*,1991
2,,52,30,0.634,3.0,106.7,103.2,3.27,Houston Rockets*,Houston Rockets*,1991
3,,31,51,0.378,24.0,105.9,109.9,-3.79,Orlando Magic,Orlando Magic,1991
4,,29,53,0.354,26.0,99.6,103.5,-3.75,Minnesota Timberwolves,Minnesota Timberwolves,1991
5,,28,54,0.341,27.0,99.9,104.5,-4.27,Dallas Mavericks,Dallas Mavericks,1991
6,,20,62,0.244,35.0,119.9,130.8,-10.31,Denver Nuggets,Denver Nuggets,1991
7,,63,19,0.768,—,114.7,106.0,8.47,Portland Trail Blazers*,Portland Trail Blazers*,1991
8,,58,24,0.707,5.0,106.3,99.6,6.73,Los Angeles Lakers*,Los Angeles Lakers*,1991
9,,55,27,0.671,8.0,114.0,107.5,6.49,Phoenix Suns*,Phoenix Suns*,1991
10,,44,38,0.537,19.0,116.6,115.0,1.72,Golden State Warriors*,Golden State Warriors*,1991
11,,41,41,0.5,22.0,106.6,105.4,1.31,Seattle SuperSonics*,Seattle SuperSonics*,1991
12,,31,51,0.378,32.0,103.5,107.0,-3.16,Los Angeles Clippers,Los Angeles Clippers,1991
13,,25,57,0.305,38.0,96.7,103.5,-6.27,Sacramento Kings,Sacramento Kings,1991
0,Boston Celtics*,51,31,0.622,—,106.6,103.0,3.41,,Boston Celtics*,1992
1,New York Knicks*,51,31,0.622,—,101.6,97.7,3.67,,New York Knicks*,1992
2,New Jersey Nets*,40,42,0.488,11.0,105.4,107.1,-1.54,,New Jersey Nets*,1992
3,Miami Heat*,38,44,0.463,13.0,105.0,109.2,-3.94,,Miami Heat*,1992
4,Philadelphia 76ers,35,47,0.427,16.0,101.9,103.2,-1.34,,Philadelphia 76ers,1992
5,Washington Bullets,25,57,0.305,26.0,102.4,106.8,-4.35,,Washington Bullets,1992
6,Orlando Magic,21,61,0.256,30.0,101.6,108.5,-6.52,,Orlando Magic,1992
7,Chicago Bulls*,67,15,0.817,—,109.9,99.5,10.07,,Chicago Bulls*,1992
8,Cleveland Cavaliers*,57,25,0.695,10.0,108.9,103.4,5.34,,Cleveland Cavaliers*,1992
9,Detroit Pistons*,48,34,0.585,19.0,98.9,96.9,2.06,,Detroit Pistons*,1992
10,Indiana Pacers*,40,42,0.488,27.0,112.2,110.3,1.85,,Indiana Pacers*,1992
11,Atlanta Hawks,38,44,0.463,29.0,106.2,107.7,-1.15,,Atlanta Hawks,1992
12,Milwaukee Bucks,31,51,0.378,36.0,105.0,106.7,-1.46,,Milwaukee Bucks,1992
13,Charlotte Hornets,31,51,0.378,36.0,109.5,113.4,-3.57,,Charlotte Hornets,1992
0,,55,27,0.671,—,108.3,101.9,5.7,Utah Jazz*,Utah Jazz*,1992
1,,47,35,0.573,8.0,104.0,100.6,2.81,San Antonio Spurs*,San Antonio Spurs*,1992
2,,42,40,0.512,13.0,102.0,103.7,-1.94,Houston Rockets,Houston Rockets,1992
3,,24,58,0.293,31.0,99.7,107.6,-7.59,Denver Nuggets,Denver Nuggets,1992
4,,22,60,0.268,33.0,97.6,105.3,-7.47,Dallas Mavericks,Dallas Mavericks,1992
5,,15,67,0.183,40.0,100.5,107.5,-6.85,Minnesota Timberwolves,Minnesota Timberwolves,1992
6,,57,25,0.695,—,111.4,104.1,6.94,Portland Trail Blazers*,Portland Trail Blazers*,1992
7,,55,27,0.671,2.0,118.7,114.8,3.77,Golden State Warriors*,Golden State Warriors*,1992
8,,53,29,0.646,4.0,112.1,106.2,5.68,Phoenix Suns*,Phoenix Suns*,1992
9,,47,35,0.573,10.0,106.5,104.7,1.86,Seattle SuperSonics*,Seattle SuperSonics*,1992
10,,45,37,0.549,12.0,102.9,101.9,1.1,Los Angeles Clippers*,Los Angeles Clippers*,1992
11,,43,39,0.524,14.0,100.4,101.5,-0.95,Los Angeles Lakers*,Los Angeles Lakers*,1992
12,,29,53,0.354,28.0,104.3,110.3,-5.63,Sacramento Kings,Sacramento Kings,1992
0,New York Knicks*,60,22,0.732,—,101.6,95.4,5.87,,New York Knicks*,1993
1,Boston Celtics*,48,34,0.585,12.0,103.7,102.8,0.93,,Boston Celtics*,1993
2,New Jersey Nets*,43,39,0.524,17.0,102.8,101.6,1.2,,New Jersey Nets*,1993
3,Orlando Magic,41,41,0.5,19.0,105.5,104.2,1.35,,Orlando Magic,1993
4,Miami Heat,36,46,0.439,24.0,103.6,104.7,-0.93,,Miami Heat,1993
5,Philadelphia 76ers,26,56,0.317,34.0,104.3,110.1,-5.25,,Philadelphia 76ers,1993
6,Washington Bullets,22,60,0.268,38.0,101.9,108.9,-6.49,,Washington Bullets,1993
7,Chicago Bulls*,57,25,0.695,—,105.2,98.9,6.19,,Chicago Bulls*,1993
8,Cleveland Cavaliers*,54,28,0.659,3.0,107.7,101.3,6.3,,Cleveland Cavaliers*,1993
9,Charlotte Hornets*,44,38,0.537,13.0,110.1,110.4,-0.02,,Charlotte Hornets*,1993
10,Atlanta Hawks*,43,39,0.524,14.0,107.5,108.4,-0.67,,Atlanta Hawks*,1993
11,Indiana Pacers*,41,41,0.5,16.0,107.8,106.1,1.77,,Indiana Pacers*,1993
12,Detroit Pistons,40,42,0.488,17.0,100.6,102.0,-1.1,,Detroit Pistons,1993
13,Milwaukee Bucks,28,54,0.341,29.0,102.3,106.1,-3.26,,Milwaukee Bucks,1993
0,,55,27,0.671,—,104.0,99.8,3.57,Houston Rockets*,Houston Rockets*,1993
1,,49,33,0.598,6.0,105.5,102.8,2.21,San Antonio Spurs*,San Antonio Spurs*,1993
2,,47,35,0.573,8.0,106.2,104.0,1.74,Utah Jazz*,Utah Jazz*,1993
3,,36,46,0.439,19.0,105.2,106.9,-2.14,Denver Nuggets,Denver Nuggets,1993
4,,19,63,0.232,36.0,98.1,105.9,-7.62,Minnesota Timberwolves,Minnesota Timberwolves,1993
5,,11,71,0.134,44.0,99.3,114.5,-14.68,Dallas Mavericks,Dallas Mavericks,1993
6,,62,20,0.756,—,113.4,106.7,6.27,Phoenix Suns*,Phoenix Suns*,1993
7,,55,27,0.671,7.0,108.3,101.3,6.66,Seattle SuperSonics*,Seattle SuperSonics*,1993
8,,51,31,0.622,11.0,108.5,105.4,2.92,Portland Trail Blazers*,Portland Trail Blazers*,1993
9,,41,41,0.5,21.0,107.1,106.8,0.33,Los Angeles Clippers*,Los Angeles Clippers*,1993
10,,39,43,0.476,23.0,104.2,105.5,-1.2,Los Angeles Lakers*,Los Angeles Lakers*,1993
11,,34,48,0.415,28.0,109.9,110.9,-0.94,Golden State Warriors,Golden State Warriors,1993
12,,25,57,0.305,37.0,107.9,111.1,-3.0,Sacramento Kings,Sacramento Kings,1993
0,New York Knicks*,57,25,0.695,—,98.5,91.5,6.48,,New York Knicks*,1994
1,Orlando Magic*,50,32,0.61,7.0,105.7,101.8,3.68,,Orlando Magic*,1994
2,New Jersey Nets*,45,37,0.549,12.0,103.2,101.0,2.11,,New Jersey Nets*,1994
3,Miami Heat*,42,40,0.512,15.0,103.4,100.7,2.4,,Miami Heat*,1994
4,Boston Celtics,32,50,0.39,25.0,100.8,105.1,-4.28,,Boston Celtics,1994
5,Philadelphia 76ers,25,57,0.305,32.0,98.0,105.6,-7.37,,Philadelphia 76ers,1994
6,Washington Bullets,24,58,0.293,33.0,100.4,107.7,-7.13,,Washington Bullets,1994
7,Atlanta Hawks*,57,25,0.695,—,101.4,96.2,4.94,,Atlanta Hawks*,1994
8,Chicago Bulls*,55,27,0.671,2.0,98.0,94.9,2.87,,Chicago Bulls*,1994
9,Indiana Pacers*,47,35,0.573,10.0,101.0,97.5,3.26,,Indiana Pacers*,1994
10,Cleveland Cavaliers*,47,35,0.573,10.0,101.2,97.1,3.64,,Cleveland Cavaliers*,1994
11,Charlotte Hornets,41,41,0.5,16.0,106.5,106.7,-0.23,,Charlotte Hornets,1994
12,Milwaukee Bucks,20,62,0.244,37.0,96.9,103.4,-6.24,,Milwaukee Bucks,1994
13,Detroit Pistons,20,62,0.244,37.0,96.9,104.7,-7.46,,Detroit Pistons,1994
0,,58,24,0.707,—,101.1,96.8,4.19,Houston Rockets*,Houston Rockets*,1994
1,,55,27,0.671,3.0,100.0,94.8,5.05,San Antonio Spurs*,San Antonio Spurs*,1994
2,,53,29,0.646,5.0,101.9,97.7,4.1,Utah Jazz*,Utah Jazz*,1994
3,,42,40,0.512,16.0,100.3,98.8,1.54,Denver Nuggets*,Denver Nuggets*,1994
4,,20,62,0.244,38.0,96.7,103.6,-6.55,Minnesota Timberwolves,Minnesota Timberwolves,1994
5,,13,69,0.159,45.0,95.1,103.8,-8.19,Dallas Mavericks,Dallas Mavericks,1994
6,,63,19,0.768,—,105.9,96.9,8.68,Seattle SuperSonics*,Seattle SuperSonics*,1994
7,,56,26,0.683,7.0,108.2,103.4,4.68,Phoenix Suns*,Phoenix Suns*,1994
8,,50,32,0.61,13.0,107.9,106.1,1.76,Golden State Warriors*,Golden State Warriors*,1994
9,,47,35,0.573,16.0,107.3,104.6,2.6,Portland Trail Blazers*,Portland Trail Blazers*,1994
10,,33,49,0.402,30.0,100.4,104.7,-3.93,Los Angeles Lakers,Los Angeles Lakers,1994
11,,28,54,0.341,35.0,101.1,106.9,-5.32,Sacramento Kings,Sacramento Kings,1994
12,,27,55,0.329,36.0,103.0,108.7,-5.28,Los Angeles Clippers,Los Angeles Clippers,1994
0,Orlando Magic*,57,25,0.695,—,110.9,103.8,6.44,,Orlando Magic*,1995
1,New York Knicks*,55,27,0.671,2.0,98.2,95.1,2.78,,New York Knicks*,1995
2,Boston Celtics*,35,47,0.427,22.0,102.8,104.7,-1.92,,Boston Celtics*,1995
3,Miami Heat,32,50,0.39,25.0,101.1,102.8,-1.85,,Miami Heat,1995
4,New Jersey Nets,30,52,0.366,27.0,98.1,101.2,-3.28,,New Jersey Nets,1995
5,Philadelphia 76ers,24,58,0.293,33.0,95.4,100.4,-5.06,,Philadelphia 76ers,1995
6,Washington Bullets,21,61,0.256,36.0,100.5,106.1,-5.56,,Washington Bullets,1995
7,Indiana Pacers*,52,30,0.634,—,99.2,95.5,3.35,,Indiana Pacers*,1995
8,Charlotte Hornets*,50,32,0.61,2.0,100.6,97.3,2.87,,Charlotte Hornets*,1995
9,Chicago Bulls*,47,35,0.573,5.0,101.5,96.7,4.32,,Chicago Bulls*,1995
10,Cleveland Cavaliers*,43,39,0.524,9.0,90.5,89.8,0.55,,Cleveland Cavaliers*,1995
11,Atlanta Hawks*,42,40,0.512,10.0,96.6,95.3,1.06,,Atlanta Hawks*,1995
12,Milwaukee Bucks,34,48,0.415,18.0,99.3,103.7,-4.3,,Milwaukee Bucks,1995
13,Detroit Pistons,28,54,0.341,24.0,98.2,105.5,-7.08,,Detroit Pistons,1995
0,,62,20,0.756,—,106.6,100.6,5.9,San Antonio Spurs*,San Antonio Spurs*,1995
1,,60,22,0.732,2.0,106.4,98.4,7.76,Utah Jazz*,Utah Jazz*,1995
2,,47,35,0.573,15.0,103.5,101.4,2.32,Houston Rockets*,Houston Rockets*,1995
