,Rk,Team,year,Overall_wins,Overall_losses,Home_wins,Home_losses,Road_wins,Road_losses,E_wins,E_losses,W_wins,W_losses,A_wins,A_losses,C_wins,C_losses,M_wins,M_losses,P_wins,P_losses,Pre_wins,Pre_losses,Post_wins,Post_losses,≤3_wins,≤3_losses,≥10_wins,≥10_losses,Nov_wins,Nov_losses,Dec_wins,Dec_losses,Jan_wins,Jan_losses,Feb_wins,Feb_losses,Mar_wins,Mar_losses,Apr_wins,Apr_losses,Oct_wins,Oct_losses,May_wins,May_losses,SE_wins,SE_losses,NW_wins,NW_losses,SW_wins,SW_losses,Jul_wins,Jul_losses,Aug_wins,Aug_losses
0,1,Portland Trail Blazers,1991,63,19,36,5,27,14,21,5,42,14,10,2,11,3,24,4,18,10,39,9,24,10,6,3,39,9,12,1,15,3,10,4,7,5,9,5,10,1,,,,,,,,,,,,,,
1,2,Chicago Bulls,1991,61,21,35,6,26,15,42,12,19,9,17,7,25,5,10,4,9,5,32,14,29,7,5,6,43,8,9,6,11,3,9,4,11,1,13,4,8,3,,,,,,,,,,,,,,
2,3,Los Angeles Lakers,1991,58,24,33,8,25,16,18,8,40,16,9,3,9,5,21,7,19,9,35,11,23,13,4,3,38,9,7,5,10,4,15,2,9,4,10,6,7,3,,,,,,,,,,,,,,
3,4,Boston Celtics,1991,56,26,35,6,21,20,35,19,21,7,20,6,15,13,11,3,10,4,35,12,21,14,7,3,39,14,12,2,11,3,9,6,9,4,11,5,4,6,,,,,,,,,,,,,,
4,5,Phoenix Suns,1991,55,27,32,9,23,18,20,6,35,21,9,3,11,3,18,10,17,11,30,16,25,11,4,4,36,9,8,4,10,5,10,5,8,5,13,3,6,5,,,,,,,,,,,,,,
5,6,San Antonio Spurs,1991,55,27,33,8,22,19,19,7,36,20,10,2,9,5,20,8,16,12,32,13,23,14,7,6,26,8,8,4,11,2,12,5,4,7,12,5,8,4,,,,,,,,,,,,,,
6,7,Utah Jazz,1991,54,28,36,5,18,23,16,10,38,18,8,4,8,6,21,7,17,11,31,16,23,12,8,3,28,17,8,6,11,4,10,5,7,3,10,6,8,4,,,,,,,,,,,,,,
7,8,Houston Rockets,1991,52,30,31,10,21,20,19,7,33,23,9,3,10,4,20,8,13,15,27,21,25,9,10,8,24,13,8,7,8,6,7,8,9,3,14,1,6,5,,,,,,,,,,,,,,
8,9,Detroit Pistons,1991,50,32,32,9,18,23,33,21,17,11,14,10,19,11,10,4,7,7,34,15,16,17,6,7,20,12,13,2,6,9,13,2,5,8,8,6,5,5,,,,,,,,,,,,,,
9,10,Milwaukee Bucks,1991,48,34,33,8,15,26,33,21,15,13,17,7,16,14,7,7,8,6,30,19,18,15,6,6,24,12,11,4,10,4,6,10,8,4,8,7,5,5,,,,,,,,,,,,,,
10,11,Golden State Warriors,1991,44,38,30,11,14,27,16,10,28,28,8,4,8,6,15,13,13,15,26,20,18,18,9,7,25,14,10,6,5,7,10,4,4,9,8,9,7,3,,,,,,,,,,,,,,
11,12,Philadelphia 76ers,1991,44,38,29,12,15,26,32,22,12,16,14,12,18,10,5,9,7,7,25,21,19,17,11,9,14,14,10,6,9,4,4,9,8,5,9,8,4,6,,,,,,,,,,,,,,
